                               Prefix Verb       URI Pattern                                                                              Controller#Action
               new_admin_user_session GET        /admin/login(.:format)                                                                   active_admin/devise/sessions#new
                   admin_user_session POST       /admin/login(.:format)                                                                   active_admin/devise/sessions#create
           destroy_admin_user_session DELETE|GET /admin/logout(.:format)                                                                  active_admin/devise/sessions#destroy
              new_admin_user_password GET        /admin/password/new(.:format)                                                            active_admin/devise/passwords#new
             edit_admin_user_password GET        /admin/password/edit(.:format)                                                           active_admin/devise/passwords#edit
                  admin_user_password PATCH      /admin/password(.:format)                                                                active_admin/devise/passwords#update
                                      PUT        /admin/password(.:format)                                                                active_admin/devise/passwords#update
                                      POST       /admin/password(.:format)                                                                active_admin/devise/passwords#create
                           admin_root GET        /admin(.:format)                                                                         admin/dashboard#index
       batch_action_admin_admin_users POST       /admin/admin_users/batch_action(.:format)                                                admin/admin_users#batch_action
                    admin_admin_users GET        /admin/admin_users(.:format)                                                             admin/admin_users#index
                                      POST       /admin/admin_users(.:format)                                                             admin/admin_users#create
                 new_admin_admin_user GET        /admin/admin_users/new(.:format)                                                         admin/admin_users#new
                edit_admin_admin_user GET        /admin/admin_users/:id/edit(.:format)                                                    admin/admin_users#edit
                     admin_admin_user GET        /admin/admin_users/:id(.:format)                                                         admin/admin_users#show
                                      PATCH      /admin/admin_users/:id(.:format)                                                         admin/admin_users#update
                                      PUT        /admin/admin_users/:id(.:format)                                                         admin/admin_users#update
                                      DELETE     /admin/admin_users/:id(.:format)                                                         admin/admin_users#destroy
     batch_action_admin_asset_classes POST       /admin/asset_classes/batch_action(.:format)                                              admin/asset_classes#batch_action
                  admin_asset_classes GET        /admin/asset_classes(.:format)                                                           admin/asset_classes#index
                                      POST       /admin/asset_classes(.:format)                                                           admin/asset_classes#create
                new_admin_asset_class GET        /admin/asset_classes/new(.:format)                                                       admin/asset_classes#new
               edit_admin_asset_class GET        /admin/asset_classes/:id/edit(.:format)                                                  admin/asset_classes#edit
                    admin_asset_class GET        /admin/asset_classes/:id(.:format)                                                       admin/asset_classes#show
                                      PATCH      /admin/asset_classes/:id(.:format)                                                       admin/asset_classes#update
                                      PUT        /admin/asset_classes/:id(.:format)                                                       admin/asset_classes#update
                                      DELETE     /admin/asset_classes/:id(.:format)                                                       admin/asset_classes#destroy
                      admin_dashboard GET        /admin/dashboard(.:format)                                                               admin/dashboard#index
batch_action_admin_real_estate_skills POST       /admin/real_estate_skills/batch_action(.:format)                                         admin/real_estate_skills#batch_action
             admin_real_estate_skills GET        /admin/real_estate_skills(.:format)                                                      admin/real_estate_skills#index
                                      POST       /admin/real_estate_skills(.:format)                                                      admin/real_estate_skills#create
          new_admin_real_estate_skill GET        /admin/real_estate_skills/new(.:format)                                                  admin/real_estate_skills#new
         edit_admin_real_estate_skill GET        /admin/real_estate_skills/:id/edit(.:format)                                             admin/real_estate_skills#edit
              admin_real_estate_skill GET        /admin/real_estate_skills/:id(.:format)                                                  admin/real_estate_skills#show
                                      PATCH      /admin/real_estate_skills/:id(.:format)                                                  admin/real_estate_skills#update
                                      PUT        /admin/real_estate_skills/:id(.:format)                                                  admin/real_estate_skills#update
                                      DELETE     /admin/real_estate_skills/:id(.:format)                                                  admin/real_estate_skills#destroy
             batch_action_admin_users POST       /admin/users/batch_action(.:format)                                                      admin/users#batch_action
                          admin_users GET        /admin/users(.:format)                                                                   admin/users#index
                                      POST       /admin/users(.:format)                                                                   admin/users#create
                       new_admin_user GET        /admin/users/new(.:format)                                                               admin/users#new
                      edit_admin_user GET        /admin/users/:id/edit(.:format)                                                          admin/users#edit
                           admin_user GET        /admin/users/:id(.:format)                                                               admin/users#show
                                      PATCH      /admin/users/:id(.:format)                                                               admin/users#update
                                      PUT        /admin/users/:id(.:format)                                                               admin/users#update
                                      DELETE     /admin/users/:id(.:format)                                                               admin/users#destroy
                       admin_comments GET        /admin/comments(.:format)                                                                admin/comments#index
                                      POST       /admin/comments(.:format)                                                                admin/comments#create
                        admin_comment GET        /admin/comments/:id(.:format)                                                            admin/comments#show
                                      DELETE     /admin/comments/:id(.:format)                                                            admin/comments#destroy
                     freelancer_style GET        /freelancer_style(.:format)                                                              style#freelancer
                       employer_style GET        /employer_style(.:format)                                                                style#employer
                          login_style GET        /login_style(.:format)                                                                   style#login
                                 join GET        /join(.:format)                                                                          join#index
                     new_user_session GET        /users/sign_in(.:format)                                                                 devise/sessions#new
                         user_session POST       /users/sign_in(.:format)                                                                 devise/sessions#create
                 destroy_user_session DELETE     /users/sign_out(.:format)                                                                devise/sessions#destroy
                    new_user_password GET        /users/password/new(.:format)                                                            passwords#new
                   edit_user_password GET        /users/password/edit(.:format)                                                           passwords#edit
                        user_password PATCH      /users/password(.:format)                                                                passwords#update
                                      PUT        /users/password(.:format)                                                                passwords#update
                                      POST       /users/password(.:format)                                                                passwords#create
             cancel_user_registration GET        /users/cancel(.:format)                                                                  registrations#cancel
                new_user_registration GET        /users/sign_up(.:format)                                                                 registrations#new
               edit_user_registration GET        /users/edit(.:format)                                                                    registrations#edit
                    user_registration PATCH      /users(.:format)                                                                         registrations#update
                                      PUT        /users(.:format)                                                                         registrations#update
                                      DELETE     /users(.:format)                                                                         registrations#destroy
                                      POST       /users(.:format)                                                                         registrations#create
                       password_reset GET        /password_reset(.:format)                                                                passwords#password_reset
                   registration_steps GET        /registration_steps(.:format)                                                            registration_steps#index
                                      POST       /registration_steps(.:format)                                                            registration_steps#create
                new_registration_step GET        /registration_steps/new(.:format)                                                        registration_steps#new
               edit_registration_step GET        /registration_steps/:id/edit(.:format)                                                   registration_steps#edit
                    registration_step GET        /registration_steps/:id(.:format)                                                        registration_steps#show
                                      PATCH      /registration_steps/:id(.:format)                                                        registration_steps#update
                                      PUT        /registration_steps/:id(.:format)                                                        registration_steps#update
                                      DELETE     /registration_steps/:id(.:format)                                                        registration_steps#destroy
                    check_users_email POST       /check_users_email(.:format)                                                             check_email#check_users_email
                    letter_opener_web            /letter_opener                                                                           LetterOpenerWeb::Engine
                           styleguide GET        /styleguide(.:format)                                                                    styleguide#index
                                 root GET        /                                                                                        join#index
        rails_postmark_inbound_emails POST       /rails/action_mailbox/postmark/inbound_emails(.:format)                                  action_mailbox/ingresses/postmark/inbound_emails#create
           rails_relay_inbound_emails POST       /rails/action_mailbox/relay/inbound_emails(.:format)                                     action_mailbox/ingresses/relay/inbound_emails#create
        rails_sendgrid_inbound_emails POST       /rails/action_mailbox/sendgrid/inbound_emails(.:format)                                  action_mailbox/ingresses/sendgrid/inbound_emails#create
  rails_mandrill_inbound_health_check GET        /rails/action_mailbox/mandrill/inbound_emails(.:format)                                  action_mailbox/ingresses/mandrill/inbound_emails#health_check
        rails_mandrill_inbound_emails POST       /rails/action_mailbox/mandrill/inbound_emails(.:format)                                  action_mailbox/ingresses/mandrill/inbound_emails#create
         rails_mailgun_inbound_emails POST       /rails/action_mailbox/mailgun/inbound_emails/mime(.:format)                              action_mailbox/ingresses/mailgun/inbound_emails#create
       rails_conductor_inbound_emails GET        /rails/conductor/action_mailbox/inbound_emails(.:format)                                 rails/conductor/action_mailbox/inbound_emails#index
                                      POST       /rails/conductor/action_mailbox/inbound_emails(.:format)                                 rails/conductor/action_mailbox/inbound_emails#create
    new_rails_conductor_inbound_email GET        /rails/conductor/action_mailbox/inbound_emails/new(.:format)                             rails/conductor/action_mailbox/inbound_emails#new
   edit_rails_conductor_inbound_email GET        /rails/conductor/action_mailbox/inbound_emails/:id/edit(.:format)                        rails/conductor/action_mailbox/inbound_emails#edit
        rails_conductor_inbound_email GET        /rails/conductor/action_mailbox/inbound_emails/:id(.:format)                             rails/conductor/action_mailbox/inbound_emails#show
                                      PATCH      /rails/conductor/action_mailbox/inbound_emails/:id(.:format)                             rails/conductor/action_mailbox/inbound_emails#update
                                      PUT        /rails/conductor/action_mailbox/inbound_emails/:id(.:format)                             rails/conductor/action_mailbox/inbound_emails#update
                                      DELETE     /rails/conductor/action_mailbox/inbound_emails/:id(.:format)                             rails/conductor/action_mailbox/inbound_emails#destroy
rails_conductor_inbound_email_reroute POST       /rails/conductor/action_mailbox/:inbound_email_id/reroute(.:format)                      rails/conductor/action_mailbox/reroutes#create
                   rails_service_blob GET        /rails/active_storage/blobs/:signed_id/*filename(.:format)                               active_storage/blobs#show
            rails_blob_representation GET        /rails/active_storage/representations/:signed_blob_id/:variation_key/*filename(.:format) active_storage/representations#show
                   rails_disk_service GET        /rails/active_storage/disk/:encoded_key/*filename(.:format)                              active_storage/disk#show
            update_rails_disk_service PUT        /rails/active_storage/disk/:encoded_token(.:format)                                      active_storage/disk#update
                 rails_direct_uploads POST       /rails/active_storage/direct_uploads(.:format)                                           active_storage/direct_uploads#create

Routes for LetterOpenerWeb::Engine:
clear_letters DELETE /clear(.:format)                 letter_opener_web/letters#clear
delete_letter DELETE /:id(.:format)                   letter_opener_web/letters#destroy
      letters GET    /                                letter_opener_web/letters#index
       letter GET    /:id(/:style)(.:format)          letter_opener_web/letters#show
              GET    /:id/attachments/:file(.:format) letter_opener_web/letters#attachment
